u03c3, [greek_small_sigma] 
u03c4, [greek_small_tau] 
u03c5, [greek_small_upsilon] 
u03c6, [greek_small_phi] 
u03c7, [greek_small_chi] 
u03c8, [greek_small_psi] 
u03c9, [greek_small_omega] 
u03ca, [greek_small_iota_with_diaeresis] 
u03cb, [greek_small_upsilon_with_diaeresis] 
u03cc, [greek_small_omicron_with_acute_accent] 
u03cd, [greek_small_upsilon_with_acute_accent] 
u03ce, [greek_small_omega_with_acute_accent] 
u03d0, [greek_beta_symbol] 
u03d1, [greek_theta_symbol] 
u03d2, [greek_upsilon_with_hook_symbol] 
u03d3, [greek_upsilon_with_acute_and_hook_symbol] 
u03d4, [greek_upsilon_with_diaeresis_and_hook_symbol] 
u03d5, [greek_phi_symbol] 
u03d6, [greek_pi_symbol] 
u03d7, [greek_kai_symbol] 
u03d8, [greek_qoppa] 
u03d9, [greek_small_qoppa] 
u03da, [greek_stigma_letter] 
u03db, [greek_small_stigma] 
u03dc, [greek_digamma] 
u03dd, [greek_small_digamma] 
u03de, [greek_koppa] 
u03df, [greek_small_koppa] 
u03e0, [greek_sampi] 
u03e1, [greek_small_sampi] 
u03e2, [coptic_capital_shei] 
u03e3, [coptic_small_shei] 
u03e4, [coptic_capital_fei] 
u03e5, [coptic_small_fei] 
u03e6, [coptic_capital_khei] 
u03e7, [coptic_small_khei] 
u03e8, [coptic_capital_hori] 
u03e9, [coptic_small_hori] 
u03ea, [coptic_capital_gangia] 
u03eb, [coptic_small_gangia] 
u03ec, [coptic_capital_shima] 
u03ed, [coptic_small_shima] 
u03ee, [coptic_capital_dei] 
u03ef, [coptic_small_dei] 
u03f0, [greek_kappa_symbol] 
u03f1, [greek_rho_symbol] 
u03f2, [greek_lunate_sigma_symbol] 
u03f3, [greek_yot] 
u03f4, [greek_capital_theta_symbol] 
u03f5, [greek_lunate_epsilon_symbol] 
u03f6, [greek_reversed_lunate_epsilon_symbol] 
u03f7, [greek_capital_sho] 
u03f8, [greek_small_sho] 
u03f9, [greek_capital_lunate_sigma_symbol] 
u03fa, [greek_capital_san] 
u03fb, [greek_small_san] 
u03fc, [greek_rho_with_stroke_symbol] 
u03fd, [greek_capital_reversed_lunate_sigma_symbol] 
u03fe, [greek_capital_dotted_lunate_sigma_symbol] 
u03ff, [greek_capital_reversed_dotted_lunate_sigma_symbol] 
u201c," [""] "
u201d," [""] "
u2026,[…]
u2190, [leftwards_arrow] 
u2191, [upwards_arrow] 
u2192, [rightwards_arrow] 
u2193, [downwards_arrow] 
u2194, [left_right_arrow] 
u2195, [up_down_arrow] 
u2196, [north_west_arrow] 
u2197, [north_east_arrow] 
u2198, [south_east_arrow] 
u2199, [south_west_arrow] 
u219a, [leftwards_arrow_with_stroke] 
u219b, [rightwards_arrow_with_stroke] 
u219c, [leftwards_wave_arrow] 
u219d, [rightwards_wave_arrow] 
u219e, [leftwards_two_headed_arrow] 
u219f, [upwards_two_headed_arrow] 
u21a0, [rightwards_two_headed_arrow] 
u21a1, [downwards_two_headed_arrow] 
u21a2, [leftwards_arrow_with_tail] 
u21a3, [rightwards_arrow_with_tail] 
u21a4, [leftwards_arrow_from_bar] 
u21a5, [upwards_arrow_from_bar] 
u21a6, [rightwards_arrow_from_bar] 
u21a7, [downwards_arrow_from_bar] 
u21a8, [up_down_arrow_with_base] 
u21a9, [leftwards_arrow_with_hook] 
u21aa, [rightwards_arrow_with_hook] 
u21ab, [leftwards_arrow_with_loop] 
u21ac, [rightwards_arrow_with_loop] 
u21ad, [left_right_wave_arrow] 
u21ae, [left_right_arrow_with_stroke] 
u21af, [downwards_zigzag_arrow] 
u21b0, [upwards_arrow_with_tip_leftwards] 
u21b1, [upwards_arrow_with_tip_rightwards] 
u21b2, [downwards_arrow_with_tip_leftwards] 
u21b3, [downwards_arrow_with_tip_rightwards] 
u21b4, [rightwards_arrow_with_corner_downwards] 
u21b5, [downwards_arrow_with_corner_leftwards] 
u21b6, [anticlockwise_top_semicircle_arrow] 
u21b7, [clockwise_top_semicircle_arrow] 
u21b8, [north_west_arrow_to_long_bar] 
u21b9, [leftwards_arrow_to_bar_over_rightwards_arrow_to_bar] 
u21ba, [anticlockwise_open_circle_arrow] 
u21bb, [clockwise_open_circle_arrow] 
u21bc, [leftwards_harpoon_with_barb_upwards] 
u21bd, [leftwards_harpoon_with_barb_downwards] 
u21be, [upwards_harpoon_with_barb_rightwards] 
u21bf, [upwards_harpoon_with_barb_leftwards] 
u21c0, [rightwards_harpoon_with_barb_upwards] 
u21c1, [rightwards_harpoon_with_barb_downwards] 
u21c2, [downwards_harpoon_with_barb_rightwards] 
u21c3, [downwards_harpoon_with_barb_leftwards] 
u21c4, [rightwards_arrow_over_leftwards_arrow] 
u21c5, [upwards_arrow_leftwards_of_downwards_arrow] 
u21c6, [leftwards_arrow_over_rightwards_arrow] 
u21c7, [leftwards_paired_arrows] 
u21c8, [upwards_paired_arrows] 
u21c9, [rightwards_paired_arrows] 
u21ca, [downwards_paired_arrows] 
u21cb, [leftwards_harpoon_over_rightwards_harpoon] 
u21cc, [rightwards_harpoon_over_leftwards_harpoon] 
u21cd, [leftwards_double_arrow_with_stroke] 
u21ce, [left_right_double_arrow_with_stroke] 
u21cf, [rightwards_double_arrow_with_stroke] 
u21d0, [leftwards_double_arrow] 
u21d1, [upwards_double_arrow] 
u21d2, [rightwards_double_arrow] 
u21d3, [downwards_double_arrow] 
u21d4, [left_right_double_arrow] 
u21d5, [up_down_double_arrow] 
u21d6, [north_west_double_arrow] 
u21d7, [north_east_double_arrow] 
u21d8, [south_east_double_arrow] 
u21d9, [south_west_double_arrow] 
u21da, [leftwards_triple_arrow] 
u21db, [rightwards_triple_arrow] 
u21dc, [leftwards_squiggle_arrow] 
u21dd, [rightwards_squiggle_arrow] 
u21de, [upwards_arrow_with_double_stroke] 
u21df, [downwards_arrow_with_double_stroke] 
u21e0, [leftwards_dashed_arrow] 
u21e1, [upwards_dashed_arrow] 
u21e2, [rightwards_dashed_arrow] 
u21e3, [downwards_dashed_arrow] 
u21e4, [leftwards_arrow_to_bar] 
u21e5, [rightwards_arrow_to_bar] 
u21e6, [leftwards_thick_arrow] 
u21e7, [upwards_thick_arrow] 
u21e8, [rightwards_thick_arrow] 
u21e9, [downwards_thick_arrow] 
u21ea, [upwards_thick_arrow_from_bar] 
u21eb, [upwards_thick_arrow_on_pedestal] 
u21ec, [upwards_thick_arrow_on_pedestal_with_horizontal_bar] 
u21ed, [upwards_thick_arrow_on_pedestal_with_vertical_bar] 
u21ee, [upwards_thick_double_arrow] 
u21ef, [upwards_thick_double_arrow_on_pedestal] 
u21f0, [rightwards_thick_arrow_from_wall] 
u21f1, [north_west_arrow_to_corner] 
u21f2, [south_east_arrow_to_corner] 
u21f3, [up_down_thick_arrow] 
u21f4, [right_arrow_with_small_circle] 
u21f5, [downwards_arrow_leftwards_of_upwards_arrow] 
u21f6, [three_rightwards_arrows] 
u21f7, [leftwards_arrow_with_vertical_stroke] 
u21f8, [rightwards_arrow_with_vertical_stroke] 
u21f9, [left_right_arrow_with_vertical_stroke] 
u21fa, [leftwards_arrow_with_double_vertical_stroke] 
u21fb, [rightwards_arrow_with_double_vertical_stroke] 
u21fc, [left_right_arrow_with_double_vertical_stroke] 
u21fd, [leftwards_open_headed_arrow] 
u21fe, [rightwards_open_headed_arrow] 
u21ff, [left_right_open_headed_arrow] 
u25a0, [black_square] 
u25a1, [white_square] 
u25a2, [white_square_with_rounded_corners] 
u25a3, [white_square_containing_black_small_square] 
u25a4, [square_with_horizontal_fill] 
u25a5, [square_with_vertical_fill] 
u25a6, [square_with_orthogonal_crosshatch_fill] 
u25a7, [square_with_upper_left_to_lower_right_fill] 
u25a8, [square_with_upper_right_to_lower_left_fill] 
u25a9, [square_with_diagonal_crosshatch_fill] 
u25aa, [black_small_square] 
u25ab, [white_small_square] 
u25ac, [black_rectangle] 
u25ad, [white_rectangle] 
u25ae, [black_vertical_rectangle] 
u25af, [white_vertical_rectangle] 
u25b0, [black_parallelogram] 
u25b1, [white_parallelogram] 
u25b2, [black_up_pointing_triangle] 
u25b3, [white_up_pointing_triangle] 
u25b4, [black_up_pointing_small_triangle] 
u25b5, [white_up_pointing_small_triangle] 
u25b6, [black_right_pointing_triangle] 
u25b7, [white_right_pointing_triangle] 
u25b8, [black_right_pointing_small_triangle] 
u25b9, [white_right_pointing_small_triangle] 
u25ba, [black_right_pointing_pointer] 
u25bb, [white_right_pointing_pointer] 
u25bc, [black_down_pointing_triangle] 
u25bd, [white_down_pointing_triangle] 
u25be, [black_down_pointing_small_triangle] 
u25bf, [white_down_pointing_small_triangle] 
u25c0, [black_left_pointing_triangle] 
u25c1, [white_left_pointing_triangle] 
u25c2, [black_left_pointing_small_triangle] 
u25c3, [white_left_pointing_small_triangle] 
u25c4, [black_left_pointing_pointer] 
u25c5, [white_left_pointing_pointer] 
u25c6, [black_diamond] 
u25c7, [white_diamond] 
u25c8, [white_diamond_containing_black_small_diamond] 
u25c9, [fisheye] 
u25ca, [lozenge] 
u25cb, [white_circle] 
u25cc, [dotted_circle] 
u25cd, [circle_with_vertical_fill] 
u25ce, [bullseye] 
u25cf, [black_circle] 
u25d0, [circle_with_left_half_black] 
u25d1, [circle_with_right_half_black] 
u25d2, [circle_with_lower_half_black] 
u25d3, [circle_with_upper_half_black] 
u25d4, [circle_with_upper_right_quadrant_black] 
u25d5, [circle_with_all_but_upper_left_quadrant_black] 
u25d6, [left_half_black_circle] 
u25d7, [right_half_black_circle] 
u25d8, [inverse_bullet] 
u25d9, [inverse_white_circle] 
u25da, [upper_half_inverse_white_circle] 
u25db, [lower_half_inverse_white_circle] 
u25dc, [upper_left_quadrant_circular_arc] 
u25dd, [upper_right_quadrant_circular_arc] 
u25de, [lower_right_quadrant_circular_arc] 
u25df, [lower_left_quadrant_circular_arc] 
u25e0, [upper_half_circle] 
u25e1, [lower_half_circle] 
u25e2, [black_lower_right_triangle] 
u25e3, [black_lower_left_triangle] 
u25e4, [black_upper_left_triangle] 
u25e5, [black_upper_right_triangle] 
u25e6, [white_bullet] 
u25e7, [square_with_left_half_black] 
u25e8, [square_with_right_half_black] 
u25e9, [square_with_upper_left_diagonal_half_black] 
u25ea, [square_with_lower_right_diagonal_half_black] 
u25eb, [white_square_with_vertical_bisecting_line] 
u25ec, [white_up_pointing_triangle_with_dot] 
u25ed, [up_pointing_triangle_with_left_half_black] 
u25ee, [up_pointing_triangle_with_right_half_black] 
u25ef, [large_circle] 
u25f0, [white_square_with_upper_left_quadrant] 
u25f1, [white_square_with_lower_left_quadrant] 
u25f2, [white_square_with_lower_right_quadrant] 
u25f3, [white_square_with_upper_right_quadrant] 
u25f4, [white_circle_with_upper_left_quadrant] 
u25f5, [white_circle_with_lower_left_quadrant] 
u25f6, [white_circle_with_lower_right_quadrant] 
u25f7, [white_circle_with_upper_right_quadrant] 
u25f8, [upper_left_triangle] 
u25f9, [upper_right_triangle] 
u25fa, [lower_left_triangle] 
u25fb, [white_medium_square] 
u25fc, [black_medium_square] 
u25fd, [white_medium_small_square] 
u25fe, [black_medium_small_square] 
u25ff, [lower_right_triangle] 
u2600, [black_sun_with_rays] 
u2601, [cloud] 
u2602, [umbrella] 
u2603, [snowman] 
u2604, [comet] 
u2605, [black_star] 
u2606, [white_star] 
u2607, [lightning] 
u2608, [thunderstorm] 
u2609, [sun] 
u260a, [ascending_node] 
u260b, [descending_node] 
u260c, [conjunction] 
u260d, [opposition] 
u260e, [black_telephone] 
u260f, [white_telephone] 
u2610, [ballot_box] 
u2611, [ballot_box_with_check] 
u2612, [ballot_box_with_x] 
u2613, [saltire] 
u2614, [umbrella_with_raindrops] 
u2615, [hot_beverage] 
u2616, [white_shogi_piece] 
u2617, [black_shogi_piece] 
u2619, [heart] 
u261a, [black_left_pointing_index] 
u261b, [black_right_pointing_index] 
u261c, [white_left_pointing_index] 
u261d, [white_up_pointing_index] 
u261e, [white_right_pointing_index] 
u261f, [white_down_pointing_index] 
u2620, [skull_&_crossbones] 
u2621, [caution_sign] 
u2622, [radioactive_sign] 
u2623, [biohazard_sign] 
u2624, [caduceus] 
u2625, [ankh] 
u2626, [orthodox_cross] 
u2627, [chi_rho] 
u2628, [cross_of_lorraine] 
u2629, [cross_of_jerusalem] 
u262a, [star_and_crescent] 
u262b, [farsi_symbol] 
u262c, [adi_shakti] 
u262d, [hammer_and_sickle] 
u262e, [peace_symbol] 
u262f, [yin_yang] 
u2630, [trigram_for_heaven] 
u2631, [trigram_for_lake] 
u2632, [trigram_for_fire] 
u2633, [trigram_for_thunder] 
u2634, [trigram_for_wind] 
u2634, [trigram_for_water] 
u2636, [trigram_for_mountain] 
u2637, [trigram_for_earth] 
u2638, [wheel_of_dharma] 
u2639, [white_frowning_face] 
u263a, [white_smiling_face] 
u263b, [black_smiling_face] 
u263c, [white_sun_with_rays] 
u263d, [first_quarter_moon] 
u263e, [last_quarter_moon] 
u263f, [mercury] 
u2640, [female_sign] 
u2641, [earth] 
u2642, [male_sign] 
u2643, [jupiter] 
u2644, [saturn] 
u2645, [uranus] 
u2646, [neptune] 
u2647, [pluto] 
u2648, [aries] 
u2649, [taurus] 
u264a, [gemini] 
u264b, [cancer] 
u264c, [leo] 
u264d, [virgo] 
u264e, [libra] 
u264f, [scorpius] 
u2650, [sagittarius] 
u2651, [capricorn] 
u2652, [aquarius] 
u2653, [pisces] 
u2654, [white_chess_king] 
u2655, [white_chess_queen] 
u2656, [white_chess_rook] 
u2657, [white_chess_bishop] 
u2658, [white_chess_knight] 
u2659, [white_chess_pawn] 
u265a, [black_chess_king] 
u265b, [black_chess_queen] 
u265c, [black_chess_rook] 
u265d, [black_chess_bishop] 
u265e, [black_chess_knight] 
u265f, [black_chess_pawn] 
u2660, [black_spade_suit] 
u2661, [heart] 
u2662, [white_diamond_suit] 
u2663, [black_club_suit] 
u2664, [white_spade_suit] 
u2665, [heart] 
u2666, [black_diamond_suit] 
u2667, [white_club_suit] 
u2668, [hot_springs] 
u2669, [quarter_note] 
u266a, [eighth_note] 
u266b, [beamed_eighth_notes] 
u266c, [beamed_sixteenth_notes] 
u266d, [music_flat_sign] 
u266e, [music_natural_sign] 
u266f, [music_sharp_sign] 
u2670, [west_syriac_cross] 
u2671, [east_syriac_cross] 
u2672, [universal_recycling_symbol] 
u2673, [recycling_symbol_for_type-1_plastics] 
u2674, [recycling_symbol_for_type-2_plastics] 
u2675, [recycling_symbol_for_type-3_plastics] 
u2676, [recycling_symbol_for_type-4_plastics] 
u2677, [recycling_symbol_for_type-5_plastics] 
u2678, [recycling_symbol_for_type-6_plastics] 
u2679, [recycling_symbol_for_type-7_plastics] 
u267a, [recycling_symbol_for_generic_materials] 
u267b, [black_universal_recycling_symbol] 
u267c, [recycled_paper_symbol] 
u267d, [partially-recycled_paper_symbol] 
u2680, [die_face-1] 
u2681, [die_face-2] 
u2682, [die_face-3] 
u2683, [die_face-4] 
u2684, [die_face-5] 
u2685, [die_face-6] 
u2686, [white_circle_with_dot_right] 
u2687, [white_circle_with_two_dots] 
u2688, [black_circle_with_dot_right] 
u2689, [black_circle_with_two_dots] 
u268a, [monogram_for_yang] 
u268b, [monogram_for_yin] 
u268c, [diagram_for_greater_yang] 
u268d, [diagram_for_lesser_yin] 
u268e, [diagram_for_lesser_yang] 
u268f, [diagram_for_greater_yin] 
u2690, [white_flag] 
u2691, [black_flag] 
u2692, [hammer_and_pick] 
u2693, [anchor] 
u2694, [crossed_swords] 
u2695, [staff_of_aesculapius] 
u2696, [scales] 
u2697, [alembic] 
u2698, [flower] 
u2699, [gear] 
u269a, [staff_of_hermes] 
u269b, [atom_symbol] 
u269c, [fleur-de-lis] 
u269d, [outlined_white_star] 
u269e, [three_lines_converging_right] 
u269f, [three_lines_converging_left] 
u26a0, [warning_sign] 
u26a1, [high_voltage_sign] 
u26a1, [warning_sign] 
u26a2, [doubled_female_sign] 
u26a3, [doubled_male_sign] 
u26a4, [interlocked_female_and_male_sign] 
u26a5, [male_and_female_sign] 
u26a6, [male_with_stroke_sign] 
u26a7, [male_with_stroke_and_male_and_female_sign] 
u26a8, [vertical_male_with_stroke_sign] 
u26a9, [horizontal_male_with_stroke_sign] 
u26aa, [medium_white_circle] 
u26ab, [medium_black_circle] 
u26ac, [medium_small_white_circle] 
u26ad, [marriage_symbol] 
u26ae, [divorce_symbol] 
u26af, [unmarried_partnership_symbol] 
u26b0, [coffin] 
u26b1, [funeral_urn] 
u26b2, [neuter] 
u26b3, [ceres] 
u26b4, [pallas] 
u26b5, [juno] 
u26b6, [vesta] 
u26b7, [chiron] 
u26b8, [black_moon_lilith] 
u26b9, [sextile] 
u26ba, [semisextile] 
u26bb, [quincunx] 
u26bc, [sesquiquadrate] 
u26bd, [soccer_ball] 
u26be, [baseball] 
u26bf, [squared_key] 
u26c0, [white_draughts_man] 
u26c1, [white_draughts_king] 
u26c2, [black_draughts_man] 
u26c3, [black_draughts_king] 
u26c4, [snowman_without_snow] 
u26c5, [sun_behind_cloud] 
u26c6, [rain] 
u26c7, [black_snowman] 
u26c8, [thunder_cloud_and_rain] 
u26c9, [turned_white_shogi_piece] 
u26ca, [turned_black_shogi_piece] 
u26cb, [white_diamond_in_square] 
u26cc, [crossing_lanes] 
u26cd, [disabled_car] 
u26ce, [ophiuchus] 
u26cf, [pick] 
u26d0, [car_sliding] 
u26d1, [helmet_with_white_cross] 
u26d2, [circled_crossing_lanes] 
u26d3, [chains] 
u26d4, [no_entry] 
u26d5, [alternate_one-way_left_way_traffic] 
u26d6, [black_two-way_left_way_traffic] 
u26d7, [white_two-way_left_way_traffic] 
u26d8, [black_left_lane_merge] 
u26d9, [white_left_lane_merge] 
u26da, [drive_slow_sign] 
u26db, [heavy_white_down-pointing_triangle] 
u26dc, [left_closed_entry] 
u26dd, [squared_saltire] 
u26de, [falling_diagonal_in_white_circle_in_black_square] 
u26df, [black_truck] 
u26e0, [restricted_left_entry-1] 
u26e1, [restricted_left_entry-2] 
u26e2, [astronomical_symbol_for_uranus] 
u26e3, [heavy_circle_with_stroke_and_two_dots_above] 
u26e4, [pentagram] 
u26e5, [right-handed_interlaced_pentagram] 
u26e6, [left-handed_interlaced_pentagram] 
u26e7, [inverted_pentagram] 
u26e8, [black_cross_on_shield] 
u26e9, [shinto_shrine] 
u26ea, [church] 
u26eb, [castle] 
u26ec, [historic_site] 
u26ed, [gear_without_hub] 
u26ee, [gear_with_handles] 
u26ef, [map_symbol_for_lighthouse] 
u26f0, [mountain] 
u26f1, [umbrella_on_ground] 
u26f2, [fountain] 
u26f3, [flag_in_hole] 
u26f4, [ferry] 
u26f5, [sailboat] 
u26f6, [square_four_corners] 
u26f7, [skier] 
u26f8, [ice_skate] 
u26f9, [person_with_ball] 
u26fa, [tent] 
u26fb, [japanese_bank_symbol] 
u26fc, [headstone_graveyard_symbol] 
u26fd, [fuel_pump] 
u26fe, [cup_on_black_square] 
u26ff, [white_flag_with_horizontal_middle_black_stripe] 
u2701, [upper_blade_scissors] 
u2702, [black_scissors] 
u2703, [lower_blade_scissors] 
u2704, [white_scissors] 
u2705, [white_heavy_check_mark] 
u2706, [telephone_location_sign] 
u2707, [tape_drive] 
u2708, [airplane] 
u2709, [envelope] 
u270a, [raised_fist] 
u270b, [raised_hand] 
u270c, [victory_hand] 
u270d, [writing_hand] 
u270e, [lower_right_pencil] 
u270f, [pencil] 
u2710, [upper_right_pencil] 
u2711, [white_nib] 
u2712, [black_nib] 
u2713, [check_mark] 
u2714, [heavy_check_mark] 
u2715, [multiplication_x] 
u2716, [heavy_multiplication_x] 
u2717, [ballot_x] 
u2718, [heavy_ballot_x] 
u2719, [outlined_greek_cross] 
u271a, [heavy_greek_cross] 
u271b, [open_center_cross] 
u271c, [heavy_open_center_cross] 
u271d, [latin_cross] 
u271e, [shadowed_white_latin_cross] 
u271f, [outlined_latin_cross] 
u2720, [maltese_cross] 
u2721, [star_of_david] 
u2722, [four_teardrop-spoked_asterisk] 
u2723, [four_balloon-spoked_asterisk] 
u2724, [heavy_four_balloon-spoked_asterisk] 
u2725, [four_club-spoked_asterisk] 
u2726, [black_four-pointed_star] 
u2727, [white_four-pointed_star] 
u2728, [sparkles] 
u2729, [stress_outlined_white_star] 
u272a, [circled_white_star] 
u272b, [open_center_black_star] 
u272c, [black_center_white_star] 
u272d, [outlined_black_star] 
u272e, [heavy_outlined_black_star] 
u272f, [pinwheel_star] 
u2730, [shadowed_white_star] 
u2731, [heavy_asterisk] 
u2732, [open_center_asterisk] 
u2733, [eight_spoked_asterisk] 
u2734, [eight_pointed_black_star] 
u2735, [eight_pointed_pinwheel_star] 
u2736, [six_pointed_black_star] 
u2737, [eight_pointed_rectilinear_black_star] 
u2738, [heavy_eight_pointed_rectilinear_black_star] 
u2739, [twelve_pointed_black_star] 
u273a, [sixteen_pointed_asterisk] 
u273b, [teardrop_spoked_asterisk] 
u273c, [open_center_teardrop_spoked_asterisk] 
u273d, [heavy_teardrop_spoked_asterisk] 
u273e, [six_petalled_black_and_white_florette] 
u273f, [black_florette] 
u2740, [white_florette] 
u2741, [eight_petalled_outlined_black_florette] 
u2742, [circled_open_center_eight_pointed_star] 
u2743, [heavy_teardrop_spoked_pinwheel_asterisk] 
u2744, [snowflake] 
u2745, [tight_trifoliate_snowflake] 
u2746, [heavy_chevron_snowflake] 
u2747, [sparkle] 
u2748, [heavy_sparkle] 
u2749, [balloon_spoked_asterisk] 
u274a, [eight_teardrop_spoked_propeller_asterisk] 
u274b, [heavy_eight_teardrop_spoked_propeller_asterisk] 
u274c, [cross_mark] 
u274d, [shadowed_white_circle] 
u274e, [negative_squared_cross_mark] 
u274f, [lower_right_drop-shadowed_white_square] 
u2750, [upper_right_drop-shadowed_white_square] 
u2751, [lower_right_shadowed_white_square] 
u2752, [upper_right_shadowed_white_square] 
u2753, [black_question_mark_ornament] 
u2754, [white_question_mark_ornament] 
u2755, [white_exclamation_mark_ornament] 
u2756, [black_diamond_minus_white_x] 
u2757, [heavy_exclamation_mark_symbol] 
u2758, [light_vertical_bar] 
u2759, [medium_vertical_bar] 
u275a, [heavy_vertical_bar] 
u275b, [heavy_single_turned_comma_quotation_mark_ornament] 
u275c, [heavy_single_comma_quotation_mark_ornament] 
u275d, [heavy_double_turned_comma_quotation_mark_ornament] 
u275e, [heavy_double_comma_quotation_mark_ornament] 
u275f, [heavy_low_single_comma_quotation_mark_ornament] 
u2760, [heavy_low_double_comma_quotation_mark_ornament] 
u2761, [curved_stem_paragraph_sign_ornament] 
u2762, [heavy_exclamation_mark_ornament] 
u2763, [heavy_heart_exclamation_mark_ornament] 
u2764, [heart] 
u2765, [heart] 
u2766, [heart] 
u2767, [heart] 
u2768, [medium_left_parenthesis_ornament] 
u2769, [medium_right_parenthesis_ornament] 
u276a, [medium_flattened_left_parenthesis_ornament] 
u276b, [medium_flattened_right_parenthesis_ornament] 
u276c, [medium_left-pointing_angle_bracket_ornament] 
u276d, [medium_right-pointing_angle_bracket_ornament] 
u276e, [heavy_left-pointing_angle_quotation_mark_ornament] 
u276f, [heavy_right-pointing_angle_quotation_mark_ornament] 
u2770, [heavy_left-pointing_angle_bracket_ornament] 
u2771, [heavy_right-pointing_angle_bracket_ornament] 
u2772, [light_left_tortoise_shell_bracket_ornament] 
u2773, [light_right_tortoise_shell_bracket_ornament] 
u2774, [medium_left_curly_bracket_ornament] 
u2775, [medium_left_curly_bracket_ornament] 
u2776, [dingbat_negative_circled_digit_one] 
u2777, [dingbat_negative_circled_digit_two] 
u2778, [dingbat_negative_circled_digit_three] 
u2779, [dingbat_negative_circled_digit_four] 
u277a, [dingbat_negative_circled_digit_five] 
u277b, [dingbat_negative_circled_digit_six] 
u277c, [dingbat_negative_circled_digit_seven] 
u277d, [dingbat_negative_circled_digit_eight] 
u277e, [dingbat_negative_circled_digit_nine] 
u277f, [dingbat_negative_circled_digit_ten] 
u2780, [dingbat_circled_sans-serif_digit_one] 
u2781, [dingbat_circled_sans-serif_digit_two] 
u2782, [dingbat_circled_sans-serif_digit_three] 
u2783, [dingbat_circled_sans-serif_digit_four] 
u2784, [dingbat_circled_sans-serif_digit_five] 
u2785, [dingbat_circled_sans-serif_digit_six] 
u2786, [dingbat_circled_sans-serif_digit_seven] 
u2787, [dingbat_circled_sans-serif_digit_eight] 
u2788, [dingbat_circled_sans-serif_digit_nine] 
u2789, [dingbat_circled_sans-serif_digit_ten] 
u278a, [dingbat_negative_circled_sans-serif_digit_one] 
u278b, [dingbat_negative_circled_sans-serif_digit_two] 
u278c, [dingbat_negative_circled_sans-serif_digit_three] 
u278d, [dingbat_negative_circled_sans-serif_digit_four] 
u278e, [dingbat_negative_circled_sans-serif_digit_five] 
u278f, [dingbat_negative_circled_sans-serif_digit_six] 
u2790, [dingbat_negative_circled_sans-serif_digit_seven] 
u2791, [dingbat_negative_circled_sans-serif_digit_eight] 
u2792, [dingbat_negative_circled_sans-serif_digit_nine] 
u2793, [dingbat_negative_circled_sans-serif_digit_ten] 
u2794, [heavy_wide-headed_rightward_arrow] 
u2798, [heavy_south_east_arrow] 
u2799, [heavy_rightward_arrow] 
u279a, [heavy_north_east_arrow] 
u279b, [drafting_point_rightward_arrow] 
u279c, [heavy_round-tipped_rightward_arrow] 
u279d, [triangle-headed_rightward_arrow] 
u279e, [heavy_triangle-headed_rightward_arrow] 
u279f, [dashed_triangle-headed_rightward_arrow] 
u27a0, [heavy_dashed_triangle-headed_rightward_arrow] 
u27a1, [black_rightward_arrow] 
u27a2, [three-d_top-lighted_rightward_arrowhead] 
u27a3, [three-d_bottom-lighted_rightward_arrowhead] 
u27a4, [black_rightward_arrowhead] 
u27a5, [heavy_black_curved_downward_and_rightward_arrow] 
u27a6, [heavy_black_curved_upward_and_rightward_arrow] 
u27a7, [squat_black_rightward_arrow] 
u27a8, [heavy_concave-pointed_black_rightward_arrow] 
u27a9, [right-shaded_white_rightward_arrow] 
u27aa, [left-shaded_white_rightward_arrow] 
u27ab, [back-tilted_shadowed_white_rightward_arrow] 
u27ac, [front-tilted_shadowed_white_rightward_arrow] 
u27ad, [heavy_lower_right-shadowed_white_rightward_arrow] 
u27ae, [heavy_upper_right-shadowed_white_rightward_arrow] 
u27af, [notched_lower_right-shadowed_white_rightward_arrow] 
u27b0, [curly_loop] 
u27b1, [notched_upper_right-shadowed_white_rightward_arrow] 
u27b2, [circled_heavy_white_rightward_arrow] 
u27b3, [white-feathered_rightward_arrow] 
u27b4, [black-feathered_south_east_arrow] 
u27b5, [black-feathered_rightward_arrow] 
u27b6, [black-feathered_north_east_arrow] 
u27b7, [heavy_black-feathered_south_east_arrow] 
u27b8, [heavy_black-feathered_rightward_arrow] 
u27b9, [heavy_black-feathered_north_east_arrow] 
u27ba, [teardrop-barbed_rightward_arrow] 
u27bb, [heavy_teardrop-shanked_rightward_arrow] 
u27bc, [wedge-tailed_rightward_arrow] 
u27bd, [heavy_wedge-tailed_rightward_arrow] 
u27be, [open-outlined_rightward_arrow] 
u27bf, [double_curly_loop] 
